127.0.0.1, 2018-10-25 22:52:01, GET, /welcome/default/index, HTTP/1.1, 500, 0.707764
127.0.0.1, 2018-10-25 22:52:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000340
127.0.0.1, 2018-10-25 22:52:03, GET, /admin/default/ticket/welcome/127.0.0.1.2018-10-25.22-52-00.74805ca2-244e-4411-a069-3db0aa6f6e56, HTTP/1.1, 303, 0.195116
127.0.0.1, 2018-10-25 22:52:03, GET, /admin/default/index, HTTP/1.1, 200, 0.056536
127.0.0.1, 2018-10-25 22:52:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000362
127.0.0.1, 2018-10-25 22:52:06, POST, /admin/default/index, HTTP/1.1, 303, 0.016501
127.0.0.1, 2018-10-25 22:52:06, GET, /admin/default/ticket/welcome/127.0.0.1.2018-10-25.22-52-00.74805ca2-244e-4411-a069-3db0aa6f6e56, HTTP/1.1, 200, 0.095591
127.0.0.1, 2018-10-25 22:52:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000348
127.0.0.1, 2018-10-25 22:55:43, GET, /, HTTP/1.1, 303, 0.009479
127.0.0.1, 2018-10-25 22:55:44, GET, /welcome/default/index, HTTP/1.1, 200, 0.447057
127.0.0.1, 2018-10-25 22:55:44, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000651
127.0.0.1, 2018-10-25 22:55:47, GET, /admin/default/site, HTTP/1.1, 303, 0.199783
127.0.0.1, 2018-10-25 22:55:47, GET, /admin/default/index, HTTP/1.1, 200, 0.052016
127.0.0.1, 2018-10-25 22:55:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000365
127.0.0.1, 2018-10-25 22:55:49, POST, /admin/default/index, HTTP/1.1, 303, 0.015687
127.0.0.1, 2018-10-25 22:55:49, GET, /admin/default/site, HTTP/1.1, 200, 0.062829
127.0.0.1, 2018-10-25 22:55:50, POST, /admin/default/check_version, HTTP/1.1, 200, 1.184085
127.0.0.1, 2018-10-25 22:55:51, GET, /start/default/index, HTTP/1.1, 200, 0.323317
127.0.0.1, 2018-10-25 22:55:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000339
127.0.0.1, 2018-10-25 22:55:53, GET, /start/default/add, HTTP/1.1, 303, 0.059703
127.0.0.1, 2018-10-25 22:55:53, GET, /start/default/user/login, HTTP/1.1, 200, 0.035627
127.0.0.1, 2018-10-25 22:55:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000571
127.0.0.1, 2018-10-25 22:55:54, GET, /start/default/user/register, HTTP/1.1, 200, 0.036081
127.0.0.1, 2018-10-25 22:55:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000474
127.0.0.1, 2018-10-25 22:56:07, POST, /start/default/user/register, HTTP/1.1, 303, 0.061309
127.0.0.1, 2018-10-25 22:56:07, GET, /start/default/add, HTTP/1.1, 200, 0.045700
127.0.0.1, 2018-10-25 22:56:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000336
127.0.0.1, 2018-10-25 22:56:27, POST, /start/default/add, HTTP/1.1, 303, 0.043308
127.0.0.1, 2018-10-25 22:56:27, GET, /start/default/index, HTTP/1.1, 200, 0.033689
127.0.0.1, 2018-10-25 22:56:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000562
127.0.0.1, 2018-10-25 22:56:29, GET, /start/default/add_reply/1, HTTP/1.1, 303, 0.031323
127.0.0.1, 2018-10-25 22:56:29, GET, /start/default/index, HTTP/1.1, 200, 0.041020
127.0.0.1, 2018-10-25 22:56:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000363
